type,name,state,lat,lon,to_spgr,elev,dt_reached,comment
FEATURE,Springer Mt,GA,34.62673,-84.193656,0,3782,,
SHELTER,Springer Mountain Shelter,GA,34.6292728,-84.192975,0.2,3720,,
SHELTER,Stover Creek Shelter,GA,34.6495767,-84.1997597,2.8,2916,,
SHELTER,Hawk Mountain Shelter,GA,34.6659577,-84.1363386,8.1,3194,,
SHELTER,Gooch Mountain Shelter,GA,34.6533256,-84.0342084,15.8,2789,,
FEATURE,"Woody Gap, US 60",GA,34.677734,-84.000137,20.6,3198,,
SHELTER,Woods Hole Shelter,GA,34.7372479,-83.954924,27.9,3662,,
SHELTER,Blood Mountain Shelter,GA,34.7400792,-83.9374442,29,4457,,
FEATURE,"Neel Gap, US 19",GA,34.741067,-83.920617,31.4,3125,,
SHELTER,Whitley Gap Shelter,GA,34.7125074,-83.8342857,38.1,3625,,
SHELTER,Low Gap Shelter,GA,34.7763053,-83.8245496,42.9,3024,,
SHELTER,Blue Mountain Shelter,GA,34.8172349,-83.7667067,50.2,3880,,
FEATURE,"Unicoi Gap, GA 75",GA,34.8017,-83.7428,52.6,2949,,
SHELTER,Tray Mountain Shelter,GA,34.8040756,-83.6767785,58.3,4193,,
SHELTER,Deep Gap Shelter,GA,34.8824641,-83.6460608,65.7,3554,,
FEATURE,"Dick's Creek Gap, US 76",GA,34.912133,-83.618833,69.3,2675,,
SHELTER,Plumorchard Gap Shelter,GA,34.9461587,-83.5881925,73.8,3144,,
FEATURE,GA-NC Border,GA,34.992205,-83.59999,78.2,3821,,
SHELTER,Muskrat Creek Shelter,NC,35.020655,-83.5815196,81.1,4562,,
SHELTER,Standing Indian Shelter,NC,35.0419474,-83.5480465,86,4742,,
FEATURE,Standing Indian Mt,NC,35.035482,-83.537977,87.5,5435,,
SHELTER,Carter Gap Shelter,NC,34.99899,-83.494085,93.6,4528,,
SHELTER,Long Branch Shelter,NC,35.06997,-83.49815,102.3,4479,,
SHELTER,Rock Gap Shelter,NC,35.0915531,-83.5229901,105.7,3772,,
FEATURE,"Winding Stair Gap, US 64",NC,35.121912,-83.544681,109.5,3690,,
SHELTER,Siler Bald Shelter,NC,35.1442503,-83.5724347,113.7,4769,,
FEATURE,Wayah Bald,NC,35.1802,-83.5608,116.7,5342,,
SHELTER,Cold Spring Shelter,NC,35.2310157,-83.5597518,122.4,4920,,
SHELTER,Wesser Bald Shelter,NC,35.2824621,-83.5821123,128.4,4115,,
SHELTER,A. Rufus Morgan Shelter,NC,35.3242861,-83.5901033,133.1,2300,,
SHELTER,Sassafras Gap Shelter,NC,35.33079,-83.6668628,140.8,4330,,
SHELTER,Brown Fork Gap Shelter,NC,35.3743478,-83.7338086,149.9,3800,,
SHELTER,Cable Gap Shelter,NC,35.4153251,-83.7734737,156,2880,,
TOWN,"Fontana Dam, NC 28733",NC,35.43,-83.83,161.5,,,
SHELTER,Fontana Dam Shelter,NC,35.448432,-83.7940435,162.6,1775,,
FEATURE,Southern Boundary GSMNP,NC,,,163.3,1800,,
SHELTER,Mollies Ridge Shelter,NC,35.5458893,-83.7935136,173.9,4570,,
SHELTER,Russell Field Shelter,NC,35.5618399,-83.7665112,176.4,4360,,
SHELTER,Spence Field Shelter,NC,35.5619025,-83.7326211,179.3,4915,,
SHELTER,Derrick Knob Shelter,NC,35.5663517,-83.6417974,185.6,4880,,
SHELTER,Silers Bald Shelter,NC,35.5643093,-83.5682326,191.1,5460,,
SHELTER,Double Spring Gap Shelter,NC,35.5652725,-83.5427482,192.8,5505,,
FEATURE,Clingmans Dome,NC,35.55,-83.5,195.3,6643,,
SHELTER,Mt. Collins Shelter,NC,35.5938466,-83.4713028,199.1,5870,,
TOWN,"Gatlinburg, TN 37738",NC,35.72,-83.52,203.6,,,
SHELTER,Icewater Spring Shelter,NC,35.6297885,-83.3862811,206.6,5920,,
FEATURE,Charlies Bunion,NC,35.639259,-83.371878,207.4,5375,,
SHELTER,Pecks Corner Shelter,NC,35.6508443,-83.3084848,214,5280,,
SHELTER,Tricorner Knob Shelter,NC,35.6937717,-83.2565301,219.2,5920,,
FEATURE,Mt Guyot,NC,35.705311,-83.257683,221.1,6621,,
SHELTER,Cosby Knob Shelter,NC,35.7271836,-83.182078,226.9,4700,,
SHELTER,Davenport Gap Shelter,NC,35.7693221,-83.1235547,234,2600,,
FEATURE,Eastern Boundary GSMNP,NC,,,234.9,1900,,
SHELTER,Groundhog Creek Shelter,NC,35.7817559,-83.0261885,244.5,2850,,
FEATURE,Max Patch Mt,NC,35.797272,-82.956848,250.9,4629,,
SHELTER,Roaring Fork Shelter,NC,35.8224413,-82.9384923,251.9,3530,,
SHELTER,Walnut Mountain Shelter,NC,35.836546,-82.9365471,257.6,4260,,
SHELTER,Deer Park Mountain Shelter,NC,35.8759289,-82.8612434,267.5,2330,,
TOWN,"Hot Springs, NC 28743",NC,35.9,-82.83,270.7,,,
SHELTER,Spring Mountain Shelter,NC,35.9515781,-82.7901046,281.7,3300,,
SHELTER,Little Laurel Shelter,NC,36.015082,-82.7357905,290,3620,,
SHELTER,Jerry Cabin,NC,36.0565607,-82.6572202,297.1,4150,,
SHELTER,Flint Mountain Shelter,NC,36.0348823,-82.5967225,303,3570,,
SHELTER,Hogback Ridge Shelter,NC,35.96405,-82.5870327,311.8,4255,,
FEATURE,Big Bald,NC,35.989967,-82.490312,320.7,5519,,
SHELTER,Bald Mountain Shelter,NC,36.0000923,-82.4781872,321.8,5100,,
SHELTER,No Business Knob Shelter,NC,36.0668644,-82.4334487,332.4,3180,,
TOWN,"Erwin, TN 37650",NC,36.15,-82.42,338.7,,,
SHELTER,Curley Maple Gap Shelter,NC,36.1042581,-82.3968395,342.9,3070,,
SHELTER,Cherry Gap Shelter,NC,36.1293282,-82.2640074,355.1,3900,,
SHELTER,Clyde Smith Shelter,NC,36.1485359,-82.1611868,363.9,4400,,
CABIN,Roan High Knob Shelter,NC,36.1050516,-82.1225425,370.3,6275,,
FEATURE,Roan High Knob,NC,36.1044,-82.1225,370.3,6285,,
SHELTER,Stan Murray Shelter,NC,36.1123643,-82.0657368,375.1,5050,,
SHELTER,Overmountain Shelter,NC,36.1236332,-82.0542594,376.8,4550,,
SHELTER,Apple House Shelter,NC,36.1721768,-82.0111785,385,3000,,
TOWN,"Roan Mountain, TN 37687",NC,36.2,-82.07,385.5,,,
TOWN,"Elk Park, NC 28622",NC,36.15,-81.98,385.5,,,
SHELTER,Moreland Gap Shelter,NC,36.2202123,-82.0883647,403.2,3815,,
SHELTER,Laurel Fork Shelter,NC,36.2786447,-82.1362319,411.2,2450,,
TOWN,"Hampton, TN 37658",NC,36.28,-82.17,412,,,
SHELTER,Watauga Lake Shelter,NC,36.3139645,-82.1293868,420,2130,,
SHELTER,Vandeventer Shelter,NC,36.3670304,-82.0588044,426.8,3620,,
SHELTER,Iron Mountain Shelter,NC,36.4356175,-81.9908857,433.6,4125,,
SHELTER,Double Springs Shelter,NC,36.5090586,-81.9860558,441.2,4060,,
TOWN,"Shady Valley, TN 37688",NC,36.52,-81.93,444.7,,,
SHELTER,Abingdon Gap Shelter,NC,36.5810973,-81.902055,458.8,3780,,
