lat,lng,type,description
34.626703,-84.193879,start,"Springer Mountain"
34.668271,-84.168377,poi,"Appalachian Trail and Benton MacKaye Trail Junction"
34.663619,-84.129914,junction,"Hightower Gap"
34.992208,-83.600001,border,"GA-TN State Border"
35.178953,-83.562358,poi,"Wayah Bald"
35.331350,-83.592071,poi,"Nantahala Outdoor Center"
35.452638,-83.805289,poi,"Fontana Dam"
35.562971,-83.497897,poi,"Clingmans Dome"
35.782754,-83.101931,poi,"Standing Bear Farm/Hostel"
35.892984,-82.826876,city,"Hot Springs, NC"
36.634829,-81.797363,city,"Damascus, VA"
45.904399,-68.921572,end,"Mt Katahdin, ME"
